movie_title,title_year,director_name,gross,budget,content_rating,country
Pearl Harbor ,2001.0,Michael Bay,198539855.0,140000000.0,3,USA
Transformers ,2007.0,Michael Bay,318759914.0,150000000.0,3,USA
Hancock ,2008.0,Peter Berg,227946274.0,150000000.0,3,USA
I Am Legend ,2007.0,Francis Lawrence,256386216.0,150000000.0,3,USA
Charlie and the Chocolate Factory ,2005.0,Tim Burton,206456431.0,150000000.0,2,USA
Ratatouille ,2007.0,Brad Bird,206435493.0,150000000.0,0,USA
Batman Begins ,2005.0,Christopher Nolan,205343774.0,150000000.0,3,USA
Madagascar: Escape 2 Africa ,2008.0,Eric Darnell,179982968.0,150000000.0,2,USA
Night at the Museum: Battle of the Smithsonian ,2009.0,Shawn Levy,177243721.0,150000000.0,2,USA
X-Men Origins: Wolverine ,2009.0,Gavin Hood,179883016.0,150000000.0,3,USA
Frozen ,2013.0,Chris Buck,400736600.0,150000000.0,2,USA
The Matrix Reloaded ,2003.0,Lana Wachowski,281492479.0,150000000.0,4,USA
Thor: The Dark World ,2013.0,Alan Taylor,206360018.0,170000000.0,3,USA
Angels & Demons ,2009.0,Ron Howard,133375846.0,150000000.0,3,USA
Thor ,2011.0,Kenneth Branagh,181015141.0,150000000.0,3,USA
Bolt ,2008.0,Byron Howard,114053579.0,150000000.0,2,USA
G-Force ,2009.0,Hoyt Yeatman,119420252.0,150000000.0,2,USA
Wrath of the Titans ,2012.0,Jonathan Liebesman,83640426.0,150000000.0,3,USA
Dark Shadows ,2012.0,Tim Burton,79711678.0,100000000.0,3,USA
The Wolfman ,2010.0,Joe Johnston,61937495.0,150000000.0,4,USA
Bee Movie ,2007.0,Steve Hickner,126597121.0,150000000.0,2,USA
Kung Fu Panda 2 ,2011.0,Jennifer Yuh Nelson,165230261.0,150000000.0,2,USA
The Last Airbender ,2010.0,M. Night Shyamalan,131564731.0,150000000.0,2,USA
Mission: Impossible III ,2006.0,J.J. Abrams,133382309.0,150000000.0,3,USA
White House Down ,2013.0,Roland Emmerich,73103784.0,150000000.0,3,USA
Mars Needs Moms ,2011.0,Simon Wells,21379315.0,150000000.0,2,USA
Pan ,2015.0,Joe Wright,34964818.0,150000000.0,2,USA
Mr. Peabody & Sherman ,2014.0,Rob Minkoff,111505642.0,145000000.0,2,USA
Troy ,2004.0,Wolfgang Petersen,133228348.0,175000000.0,4,USA
Madagascar 3: Europe's Most Wanted ,2012.0,Eric Darnell,216366733.0,145000000.0,2,USA
Ghostbusters ,2016.0,Paul Feig,118099659.0,144000000.0,3,USA
Armageddon ,1998.0,Michael Bay,201573391.0,140000000.0,3,USA
Men in Black II ,2002.0,Barry Sonnenfeld,190418803.0,140000000.0,3,USA
Beowulf ,2007.0,Robert Zemeckis,82161969.0,150000000.0,3,USA
Kung Fu Panda 3 ,2016.0,Alessandro Carloni,143523463.0,145000000.0,2,USA
Mission: Impossible - Ghost Protocol ,2011.0,Brad Bird,209364921.0,145000000.0,3,USA
Rise of the Guardians ,2012.0,Peter Ramsey,103400692.0,145000000.0,2,USA
Fun with Dick and Jane ,2005.0,Dean Parisot,110332737.0,100000000.0,3,USA
The Last Samurai ,2003.0,Edward Zwick,111110575.0,140000000.0,4,USA
Star Trek ,2009.0,J.J. Abrams,257704099.0,150000000.0,3,USA
Spider-Man ,2002.0,Sam Raimi,403706375.0,139000000.0,3,USA
How to Train Your Dragon 2 ,2014.0,Dean DeBlois,176997107.0,145000000.0,2,USA
Gods of Egypt ,2016.0,Alex Proyas,31141074.0,140000000.0,3,USA
Stealth ,2005.0,Rob Cohen,31704416.0,135000000.0,3,USA
Watchmen ,2009.0,Zack Snyder,107503316.0,130000000.0,4,USA
Lethal Weapon 4 ,1998.0,Richard Donner,129734803.0,140000000.0,4,USA
Hulk ,2003.0,Ang Lee,132122995.0,137000000.0,3,USA
G.I. Joe: Retaliation ,2013.0,Jon M. Chu,122512052.0,130000000.0,3,USA
Final Fantasy: The Spirits Within ,2001.0,Hironobu Sakaguchi,32131830.0,137000000.0,3,USA
Captain America: The First Avenger ,2011.0,Joe Johnston,176636816.0,140000000.0,3,USA
Master and Commander: The Far Side of the World ,2003.0,Peter Weir,93926386.0,150000000.0,3,USA
The Twilight Saga: Breaking Dawn - Part 2 ,2012.0,Bill Condon,292298923.0,120000000.0,3,USA
The Incredible Hulk ,2008.0,Louis Leterrier,134518390.0,150000000.0,3,USA
The Revenant ,2015.0,Alejandro G. Iñárritu,183635922.0,135000000.0,4,USA
Turbo ,2013.0,David Soren,83024900.0,135000000.0,2,USA
Rango ,2011.0,Gore Verbinski,123207194.0,135000000.0,2,USA
Penguins of Madagascar ,2014.0,Eric Darnell,83348920.0,132000000.0,2,USA
The Bourne Ultimatum ,2007.0,Paul Greengrass,227137090.0,110000000.0,3,USA
Kung Fu Panda ,2008.0,Mark Osborne,215395021.0,130000000.0,2,USA
Ant-Man ,2015.0,Peyton Reed,180191634.0,130000000.0,3,USA
The Hunger Games: Catching Fire ,2013.0,Francis Lawrence,424645577.0,130000000.0,3,USA
Home ,2015.0,Tim Johnson,177343675.0,135000000.0,2,USA
War of the Worlds ,2005.0,Steven Spielberg,234277056.0,132000000.0,3,USA
Bad Boys II ,2003.0,Michael Bay,138396624.0,130000000.0,4,USA
Puss in Boots ,2011.0,Chris Miller,149234747.0,130000000.0,2,USA
Salt ,2010.0,Phillip Noyce,118311368.0,110000000.0,3,USA
Noah ,2014.0,Darren Aronofsky,101160529.0,125000000.0,3,USA
The Adventures of Tintin ,2011.0,Steven Spielberg,77564037.0,135000000.0,2,USA
After Earth ,2013.0,M. Night Shyamalan,60522097.0,130000000.0,3,USA
Dinosaur ,2000.0,Eric Leighton,137748063.0,127500000.0,2,USA
Night at the Museum: Secret of the Tomb ,2014.0,Shawn Levy,113733726.0,127000000.0,2,USA
Megamind ,2010.0,Tom McGrath,148337537.0,130000000.0,2,USA
R.I.P.D. ,2013.0,Robert Schwentke,33592415.0,130000000.0,3,USA
Pirates of the Caribbean: The Curse of the Black Pearl ,2003.0,Gore Verbinski,305388685.0,140000000.0,3,USA
The Hunger Games: Mockingjay - Part 1 ,2014.0,Francis Lawrence,337103873.0,125000000.0,3,USA
The Da Vinci Code ,2006.0,Ron Howard,217536138.0,125000000.0,3,USA
Rio 2 ,2014.0,Carlos Saldanha,131536019.0,103000000.0,0,USA
Fast Five ,2011.0,Justin Lin,209805005.0,125000000.0,3,USA
Sherlock Holmes: A Game of Shadows ,2011.0,Guy Ritchie,186830669.0,125000000.0,3,USA
Clash of the Titans ,2010.0,Louis Leterrier,163192114.0,125000000.0,3,USA
Total Recall ,1990.0,Paul Verhoeven,119412921.0,65000000.0,4,USA
The 13th Warrior ,1999.0,John McTiernan,32694788.0,85000000.0,4,USA
The Bourne Legacy ,2012.0,Tony Gilroy,113165635.0,125000000.0,3,USA
Batman & Robin ,1997.0,Joel Schumacher,107285004.0,125000000.0,3,USA
How the Grinch Stole Christmas ,2000.0,Ron Howard,260031035.0,123000000.0,2,USA
The Day After Tomorrow ,2004.0,Roland Emmerich,186739919.0,125000000.0,3,USA
Mission: Impossible II ,2000.0,John Woo,215397307.0,125000000.0,3,USA
The Perfect Storm ,2000.0,Wolfgang Petersen,182618434.0,140000000.0,3,USA
Fantastic 4: Rise of the Silver Surfer ,2007.0,Tim Story,131920333.0,130000000.0,2,USA
Life of Pi ,2012.0,Ang Lee,124976634.0,120000000.0,2,USA
Ghost Rider ,2007.0,Mark Steven Johnson,115802596.0,110000000.0,3,USA
Charlie's Angels: Full Throttle ,2003.0,McG,100685880.0,120000000.0,3,USA
Prometheus ,2012.0,Ridley Scott,126464904.0,130000000.0,4,USA
Stuart Little 2 ,2002.0,Rob Minkoff,64736114.0,120000000.0,2,USA
Elysium ,2013.0,Neill Blomkamp,93050117.0,115000000.0,4,USA
The Chronicles of Riddick ,2004.0,David Twohy,57637485.0,105000000.0,3,USA
RoboCop ,2014.0,José Padilha,58607007.0,100000000.0,3,USA
Speed Racer ,2008.0,Lana Wachowski,43929341.0,120000000.0,2,USA
How Do You Know ,2010.0,James L. Brooks,30212620.0,120000000.0,3,USA
Knight and Day ,2010.0,James Mangold,76418654.0,117000000.0,3,USA
Oblivion ,2013.0,Joseph Kosinski,89021735.0,120000000.0,3,USA
Star Wars: Episode III - Revenge of the Sith ,2005.0,George Lucas,380262555.0,113000000.0,3,USA
Star Wars: Episode II - Attack of the Clones ,2002.0,George Lucas,310675583.0,115000000.0,2,USA
"Monsters, Inc. ",2001.0,Pete Docter,289907418.0,115000000.0,0,USA
The Wolverine ,2013.0,James Mangold,132550960.0,120000000.0,3,USA
Star Wars: Episode I - The Phantom Menace ,1999.0,George Lucas,474544677.0,115000000.0,2,USA
The Croods ,2013.0,Kirk De Micco,187165546.0,135000000.0,2,USA
Windtalkers ,2002.0,John Woo,40911830.0,115000000.0,4,USA
The Huntsman: Winter's War ,2016.0,Cedric Nicolas-Troyan,47952020.0,115000000.0,3,USA
Teenage Mutant Ninja Turtles ,2014.0,Jonathan Liebesman,190871240.0,125000000.0,3,USA
Dante's Peak ,1997.0,Roger Donaldson,67155742.0,116000000.0,3,USA
Teenage Mutant Ninja Turtles: Out of the Shadows ,2016.0,Dave Green,81638674.0,135000000.0,3,USA
Fantastic Four ,2015.0,Josh Trank,56114221.0,120000000.0,3,USA
Night at the Museum ,2006.0,Shawn Levy,250863268.0,110000000.0,2,USA
San Andreas ,2015.0,Brad Peyton,155181732.0,110000000.0,3,USA
The Patriot ,2000.0,Roland Emmerich,113330342.0,110000000.0,4,USA
Ocean's Twelve ,2004.0,Steven Soderbergh,125531634.0,110000000.0,3,USA
Mr. & Mrs. Smith ,2005.0,Doug Liman,186336103.0,120000000.0,3,USA
Insurgent ,2015.0,Robert Schwentke,129995817.0,110000000.0,3,USA
The Aviator ,2004.0,Martin Scorsese,102608827.0,110000000.0,3,USA
Gulliver's Travels ,2010.0,Rob Letterman,42776259.0,112000000.0,2,USA
The Green Hornet ,2011.0,Michel Gondry,98780042.0,120000000.0,3,USA
300: Rise of an Empire ,2014.0,Noam Murro,106369117.0,110000000.0,4,USA
The Smurfs ,2011.0,Raja Gosnell,142614158.0,110000000.0,2,USA
Home on the Range ,2004.0,Will Finn,50026353.0,110000000.0,2,USA
Allegiant ,2016.0,Robert Schwentke,66002193.0,110000000.0,3,USA
Real Steel ,2011.0,Shawn Levy,85463309.0,110000000.0,3,USA
The Smurfs 2 ,2013.0,Raja Gosnell,71017784.0,105000000.0,2,USA
Speed 2: Cruise Control ,1997.0,Jan de Bont,48068396.0,160000000.0,3,USA
Ender's Game ,2013.0,Gavin Hood,61656849.0,110000000.0,3,USA
Live Free or Die Hard ,2007.0,Len Wiseman,134520804.0,110000000.0,3,USA
Around the World in 80 Days ,2004.0,Frank Coraci,24004159.0,110000000.0,2,USA
Ali ,2001.0,Michael Mann,58183966.0,107000000.0,4,USA
The Cat in the Hat ,2003.0,Bo Welch,100446895.0,109000000.0,2,USA
"I, Robot ",2004.0,Alex Proyas,144795350.0,120000000.0,3,USA
Kingdom of Heaven ,2005.0,Ridley Scott,47396698.0,130000000.0,4,USA
The Princess and the Frog ,2009.0,Ron Clements,104374107.0,105000000.0,0,USA
The Martian ,2015.0,Ridley Scott,228430993.0,108000000.0,3,USA
The Island ,2005.0,Michael Bay,35799026.0,126000000.0,3,USA
Gone in Sixty Seconds ,2000.0,Dominic Sena,101643008.0,90000000.0,3,USA
Gladiator ,2000.0,Ridley Scott,187670866.0,103000000.0,4,USA
Minority Report ,2002.0,Steven Spielberg,132014112.0,102000000.0,3,USA
Planet of the Apes ,2001.0,Tim Burton,180011740.0,100000000.0,3,USA
Terminator 2: Judgment Day ,1991.0,James Cameron,204843350.0,102000000.0,4,USA
Public Enemies ,2009.0,Michael Mann,97030725.0,100000000.0,4,USA
American Gangster ,2007.0,Ridley Scott,130127620.0,100000000.0,4,USA
True Lies ,1994.0,James Cameron,146282411.0,115000000.0,4,USA
The Taking of Pelham 1 2 3 ,2009.0,Tony Scott,65452312.0,100000000.0,4,USA
Little Fockers ,2010.0,Paul Weitz,148383780.0,100000000.0,3,USA
The Other Guys ,2010.0,Adam McKay,119219978.0,100000000.0,3,USA
Eraser ,1996.0,Chuck Russell,101228120.0,100000000.0,4,USA
Django Unchained ,2012.0,Quentin Tarantino,162804648.0,100000000.0,4,USA
The Hunchback of Notre Dame ,1996.0,Gary Trousdale,100117603.0,100000000.0,0,USA
The Emperor's New Groove ,2000.0,Mark Dindal,89296573.0,100000000.0,0,USA
The Expendables 2 ,2012.0,Simon West,85017401.0,92000000.0,4,USA
National Treasure ,2004.0,Jon Turteltaub,173005002.0,100000000.0,2,USA
Eragon ,2006.0,Stefen Fangmeier,75030163.0,100000000.0,2,USA
Epic ,2013.0,Chris Wedge,107515297.0,100000000.0,2,USA
The Tourist ,2010.0,Florian Henckel von Donnersmarck,67631157.0,100000000.0,3,USA
End of Days ,1999.0,Peter Hyams,66862068.0,83000000.0,4,USA
The Wolf of Wall Street ,2013.0,Martin Scorsese,116866727.0,100000000.0,4,USA
Batman Forever ,1995.0,Joel Schumacher,184031112.0,100000000.0,3,USA
Starship Troopers ,1997.0,Paul Verhoeven,54700065.0,105000000.0,4,USA
Legend of the Guardians: The Owls of Ga'Hoole ,2010.0,Zack Snyder,55673333.0,80000000.0,2,USA
Catwoman ,2004.0,Pitof,40198710.0,100000000.0,3,USA
Hercules ,2014.0,Brett Ratner,72660029.0,100000000.0,3,USA
Treasure Planet ,2002.0,Ron Clements,38120554.0,140000000.0,2,USA
Land of the Lost ,2009.0,Brad Silberling,49392095.0,100000000.0,3,USA
The Expendables 3 ,2014.0,Patrick Hughes,39292022.0,90000000.0,3,USA
Point Break ,2015.0,Ericson Core,28772222.0,105000000.0,3,USA
Son of the Mask ,2005.0,Lawrence Guterman,17010646.0,84000000.0,2,USA
In the Heart of the Sea ,2015.0,Ron Howard,24985612.0,100000000.0,3,USA
The Adventures of Pluto Nash ,2002.0,Ron Underwood,4411102.0,100000000.0,3,USA
The Peanuts Movie ,2015.0,Steve Martino,130174897.0,99000000.0,0,USA
The Spanish Prisoner ,1997.0,David Mamet,10200000.0,10000000.0,2,USA
The Mummy Returns ,2001.0,Stephen Sommers,202007640.0,98000000.0,3,USA
Gangs of New York ,2002.0,Martin Scorsese,77679638.0,100000000.0,4,USA
Surf's Up ,2007.0,Ash Brannon,58867694.0,100000000.0,2,USA
The Stepford Wives ,2004.0,Frank Oz,59475623.0,90000000.0,3,USA
Black Hawk Down ,2001.0,Ridley Scott,108638745.0,92000000.0,4,USA
The Campaign ,2012.0,Jay Roach,86897182.0,95000000.0,4,USA
Sex and the City 2 ,2010.0,Michael Patrick King,95328937.0,100000000.0,4,USA
The Road to El Dorado ,2000.0,Bibo Bergeron,50802661.0,95000000.0,2,USA
Ice Age: Continental Drift ,2012.0,Steve Martino,161317423.0,95000000.0,2,USA
Cinderella ,2015.0,Kenneth Branagh,201148159.0,95000000.0,2,USA
The Lovely Bones ,2009.0,Peter Jackson,43982842.0,65000000.0,3,USA
Finding Nemo ,2003.0,Andrew Stanton,380838870.0,94000000.0,0,USA
The Lord of the Rings: The Return of the King ,2003.0,Peter Jackson,377019252.0,94000000.0,3,USA
The Lord of the Rings: The Two Towers ,2002.0,Peter Jackson,340478898.0,94000000.0,3,USA
Seventh Son ,2014.0,Sergey Bodrov,17176900.0,95000000.0,3,USA
Lara Croft: Tomb Raider ,2001.0,Simon West,131144183.0,115000000.0,3,USA
Jurassic Park III ,2001.0,Joe Johnston,181166115.0,93000000.0,3,USA
Rise of the Planet of the Apes ,2011.0,Rupert Wyatt,176740650.0,93000000.0,3,USA
The Spiderwick Chronicles ,2008.0,Mark Waters,71148699.0,90000000.0,2,USA
A Good Day to Die Hard ,2013.0,John Moore,67344392.0,92000000.0,4,USA
The Alamo ,2004.0,John Lee Hancock,22406362.0,107000000.0,3,USA
The Incredibles ,2004.0,Brad Bird,261437578.0,92000000.0,2,USA
Cutthroat Island ,1995.0,Renny Harlin,11000000.0,98000000.0,3,USA
Men in Black ,1997.0,Barry Sonnenfeld,250147615.0,90000000.0,3,USA
Toy Story 2 ,1999.0,John Lasseter,245823397.0,90000000.0,0,USA
Unstoppable ,2010.0,Tony Scott,81557479.0,100000000.0,3,USA
Rush Hour 2 ,2001.0,Brett Ratner,226138454.0,90000000.0,3,USA
What Lies Beneath ,2000.0,Robert Zemeckis,155370362.0,100000000.0,3,USA
Cloudy with a Chance of Meatballs ,2009.0,Phil Lord,124870275.0,100000000.0,2,USA
Ice Age: Dawn of the Dinosaurs ,2009.0,Carlos Saldanha,196573705.0,90000000.0,2,USA
The Secret Life of Walter Mitty ,2013.0,Ben Stiller,58229120.0,90000000.0,2,USA
Charlie's Angels ,2000.0,McG,125305545.0,92000000.0,3,USA
The Departed ,2006.0,Martin Scorsese,132373442.0,90000000.0,4,USA
Mulan ,1998.0,Tony Bancroft,120618403.0,90000000.0,0,USA
Tropic Thunder ,2008.0,Ben Stiller,110416702.0,92000000.0,4,USA
The Girl with the Dragon Tattoo ,2011.0,David Fincher,102515793.0,90000000.0,4,USA
Die Hard with a Vengeance ,1995.0,John McTiernan,100012500.0,90000000.0,4,USA
Sherlock Holmes ,2009.0,Guy Ritchie,209019489.0,90000000.0,3,USA
Atlantis: The Lost Empire ,2001.0,Gary Trousdale,84037039.0,120000000.0,2,USA
Alvin and the Chipmunks: The Road Chip ,2015.0,Walt Becker,85884815.0,90000000.0,2,USA
Valkyrie ,2008.0,Bryan Singer,83077470.0,75000000.0,3,USA
You Don't Mess with the Zohan ,2008.0,Dennis Dugan,100018837.0,90000000.0,3,USA
Pixels ,2015.0,Chris Columbus,78747585.0,88000000.0,3,USA
A.I. Artificial Intelligence ,2001.0,Steven Spielberg,78616689.0,100000000.0,3,USA
The Haunted Mansion ,2003.0,Rob Minkoff,75817994.0,90000000.0,2,USA
Contact ,1997.0,Robert Zemeckis,100853835.0,90000000.0,2,USA
Hollow Man ,2000.0,Paul Verhoeven,73209340.0,95000000.0,4,USA
Percy Jackson: Sea of Monsters ,2013.0,Thor Freudenthal,68558662.0,90000000.0,2,USA
Lara Croft Tomb Raider: The Cradle of Life ,2003.0,Jan de Bont,65653758.0,95000000.0,3,USA
Now You See Me 2 ,2016.0,Jon M. Chu,64685359.0,90000000.0,3,USA
The Saint ,1997.0,Phillip Noyce,61355436.0,68000000.0,3,USA
Mission to Mars ,2000.0,Brian De Palma,60874615.0,90000000.0,2,USA
Rio ,2011.0,Carlos Saldanha,143618384.0,90000000.0,0,USA
Bicentennial Man ,1999.0,Chris Columbus,58220776.0,100000000.0,2,USA
Volcano ,1997.0,Mick Jackson,47474112.0,90000000.0,3,USA
The Devil's Own ,1997.0,Alan J. Pakula,42877165.0,86000000.0,4,USA
Conan the Barbarian ,1982.0,John Milius,37567440.0,20000000.0,4,USA
Cinderella Man ,2005.0,Ron Howard,61644321.0,88000000.0,3,USA
Seabiscuit ,2003.0,Gary Ross,120147445.0,87000000.0,3,USA
Twister ,1996.0,Jan de Bont,241688385.0,92000000.0,3,USA
Cast Away ,2000.0,Robert Zemeckis,233630478.0,90000000.0,3,USA
Happy Feet ,2006.0,George Miller,197992827.0,100000000.0,2,USA
The Bourne Supremacy ,2004.0,Paul Greengrass,176049130.0,75000000.0,3,USA
Air Force One ,1997.0,Wolfgang Petersen,172620724.0,85000000.0,4,USA
Ocean's Eleven ,2001.0,Steven Soderbergh,183405771.0,85000000.0,3,USA
Hotel Transylvania ,2012.0,Genndy Tartakovsky,148313048.0,85000000.0,2,USA
