movie_title,title_year,director_name,gross,budget,content_rating,language
Oz the Great and Powerful ,2013.0,Sam Raimi,234903076.0,215000000.0,PG,English
The Amazing Spider-Man 2 ,2014.0,Marc Webb,202853933.0,200000000.0,PG-13,English
TRON: Legacy ,2010.0,Joseph Kosinski,172051787.0,170000000.0,PG,English
Cars 2 ,2011.0,John Lasseter,191450875.0,200000000.0,G,English
Green Lantern ,2011.0,Martin Campbell,116593191.0,200000000.0,PG-13,English
Toy Story 3 ,2010.0,Lee Unkrich,414984497.0,200000000.0,G,English
Terminator Salvation ,2009.0,McG,125320003.0,200000000.0,PG-13,English
Furious 7 ,2015.0,James Wan,350034110.0,190000000.0,PG-13,English
World War Z ,2013.0,Marc Forster,202351611.0,190000000.0,PG-13,English
X-Men: Days of Future Past ,2014.0,Bryan Singer,233914986.0,200000000.0,PG-13,English
Star Trek Into Darkness ,2013.0,J.J. Abrams,228756232.0,190000000.0,PG-13,English
Jack the Giant Slayer ,2013.0,Bryan Singer,65171860.0,195000000.0,PG-13,English
The Great Gatsby ,2013.0,Baz Luhrmann,144812796.0,105000000.0,PG-13,English
Prince of Persia: The Sands of Time ,2010.0,Mike Newell,90755643.0,200000000.0,PG-13,English
Pacific Rim ,2013.0,Guillermo del Toro,101785482.0,190000000.0,PG-13,English
Transformers: Dark of the Moon ,2011.0,Michael Bay,352358779.0,195000000.0,PG-13,English
Indiana Jones and the Kingdom of the Crystal Skull ,2008.0,Steven Spielberg,317011114.0,185000000.0,PG-13,English
Brave ,2012.0,Mark Andrews,237282182.0,185000000.0,PG,English
Star Trek Beyond ,2016.0,Justin Lin,130468626.0,185000000.0,PG-13,English
WALL·E ,2008.0,Andrew Stanton,223806889.0,180000000.0,G,English
Rush Hour 3 ,2007.0,Brett Ratner,140080850.0,140000000.0,PG-13,English
2012 ,2009.0,Roland Emmerich,166112167.0,200000000.0,PG-13,English
A Christmas Carol ,2009.0,Robert Zemeckis,137850096.0,200000000.0,PG,English
Jupiter Ascending ,2015.0,Lana Wachowski,47375327.0,176000000.0,PG-13,English
The Legend of Tarzan ,2016.0,David Yates,124051759.0,180000000.0,PG-13,English
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005.0,Andrew Adamson,291709845.0,180000000.0,PG,English
X-Men: Apocalypse ,2016.0,Bryan Singer,154985087.0,178000000.0,PG-13,English
The Dark Knight ,2008.0,Christopher Nolan,533316061.0,185000000.0,PG-13,English
Up ,2009.0,Pete Docter,292979556.0,175000000.0,PG,English
Monsters vs. Aliens ,2009.0,Rob Letterman,198332128.0,175000000.0,PG,English
Iron Man ,2008.0,Jon Favreau,318298180.0,140000000.0,PG-13,English
Hugo ,2011.0,Martin Scorsese,73820094.0,170000000.0,PG,English
Wild Wild West ,1999.0,Barry Sonnenfeld,113745408.0,170000000.0,PG-13,English
The Mummy: Tomb of the Dragon Emperor ,2008.0,Rob Cohen,102176165.0,145000000.0,PG-13,English
Suicide Squad ,2016.0,David Ayer,161087183.0,175000000.0,PG-13,English
Evan Almighty ,2007.0,Tom Shadyac,100289690.0,175000000.0,PG,English
Edge of Tomorrow ,2014.0,Doug Liman,100189501.0,178000000.0,PG-13,English
Waterworld ,1995.0,Kevin Reynolds,88246220.0,175000000.0,PG-13,English
G.I. Joe: The Rise of Cobra ,2009.0,Stephen Sommers,150167630.0,175000000.0,PG-13,English
Inside Out ,2015.0,Pete Docter,356454367.0,175000000.0,PG,English
The Jungle Book ,2016.0,Jon Favreau,362645141.0,175000000.0,PG,English
Iron Man 2 ,2010.0,Jon Favreau,312057433.0,200000000.0,PG-13,English
Snow White and the Huntsman ,2012.0,Rupert Sanders,155111815.0,170000000.0,PG-13,English
Maleficent ,2014.0,Robert Stromberg,241407328.0,180000000.0,PG,English
Dawn of the Planet of the Apes ,2014.0,Matt Reeves,208543795.0,170000000.0,PG-13,English
47 Ronin ,2013.0,Carl Rinsch,38297305.0,175000000.0,PG-13,English
Captain America: The Winter Soldier ,2014.0,Anthony Russo,259746958.0,170000000.0,PG-13,English
Shrek Forever After ,2010.0,Mike Mitchell,238371987.0,165000000.0,PG,English
Tomorrowland ,2015.0,Brad Bird,93417865.0,190000000.0,PG,English
Big Hero 6 ,2014.0,Don Hall,222487711.0,165000000.0,PG,English
Wreck-It Ralph ,2012.0,Rich Moore,189412677.0,165000000.0,PG,English
The Polar Express ,2004.0,Robert Zemeckis,665426.0,165000000.0,G,English
Independence Day: Resurgence ,2016.0,Roland Emmerich,102315545.0,165000000.0,PG-13,English
How to Train Your Dragon ,2010.0,Dean DeBlois,217387997.0,165000000.0,PG,English
Terminator 3: Rise of the Machines ,2003.0,Jonathan Mostow,150350192.0,200000000.0,R,English
Guardians of the Galaxy ,2014.0,James Gunn,333130696.0,170000000.0,PG-13,English
Interstellar ,2014.0,Christopher Nolan,187991439.0,165000000.0,PG-13,English
Inception ,2010.0,Christopher Nolan,292568851.0,160000000.0,PG-13,English
The Hobbit: An Unexpected Journey ,2012.0,Peter Jackson,303001229.0,180000000.0,PG-13,English
The Fast and the Furious ,2001.0,Rob Cohen,144512310.0,38000000.0,PG-13,English
The Curious Case of Benjamin Button ,2008.0,David Fincher,127490802.0,150000000.0,PG-13,English
X-Men: First Class ,2011.0,Matthew Vaughn,146405371.0,160000000.0,PG-13,English
The Hunger Games: Mockingjay - Part 2 ,2015.0,Francis Lawrence,281666058.0,160000000.0,PG-13,English
The Sorcerer's Apprentice ,2010.0,Jon Turteltaub,63143812.0,150000000.0,PG,English
Poseidon ,2006.0,Wolfgang Petersen,60655503.0,160000000.0,PG-13,English
Alice Through the Looking Glass ,2016.0,James Bobin,76846624.0,170000000.0,PG,English
Shrek the Third ,2007.0,Chris Miller,320706665.0,160000000.0,PG,English
Warcraft ,2016.0,Duncan Jones,46978995.0,160000000.0,PG-13,English
Terminator Genisys ,2015.0,Alan Taylor,89732035.0,155000000.0,PG-13,English
The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010.0,Michael Apted,104383624.0,155000000.0,PG,English
Pearl Harbor ,2001.0,Michael Bay,198539855.0,140000000.0,PG-13,English
Transformers ,2007.0,Michael Bay,318759914.0,150000000.0,PG-13,English
Alexander ,2004.0,Oliver Stone,34293771.0,155000000.0,R,English
Harry Potter and the Order of the Phoenix ,2007.0,David Yates,292000866.0,150000000.0,PG-13,English
Harry Potter and the Goblet of Fire ,2005.0,Mike Newell,289994397.0,150000000.0,PG-13,English
Hancock ,2008.0,Peter Berg,227946274.0,150000000.0,PG-13,English
I Am Legend ,2007.0,Francis Lawrence,256386216.0,150000000.0,PG-13,English
Charlie and the Chocolate Factory ,2005.0,Tim Burton,206456431.0,150000000.0,PG,English
Ratatouille ,2007.0,Brad Bird,206435493.0,150000000.0,G,English
Batman Begins ,2005.0,Christopher Nolan,205343774.0,150000000.0,PG-13,English
Madagascar: Escape 2 Africa ,2008.0,Eric Darnell,179982968.0,150000000.0,PG,English
Night at the Museum: Battle of the Smithsonian ,2009.0,Shawn Levy,177243721.0,150000000.0,PG,English
X-Men Origins: Wolverine ,2009.0,Gavin Hood,179883016.0,150000000.0,PG-13,English
The Matrix Revolutions ,2003.0,Lana Wachowski,139259759.0,150000000.0,R,English
Frozen ,2013.0,Chris Buck,400736600.0,150000000.0,PG,English
The Matrix Reloaded ,2003.0,Lana Wachowski,281492479.0,150000000.0,R,English
Thor: The Dark World ,2013.0,Alan Taylor,206360018.0,170000000.0,PG-13,English
Mad Max: Fury Road ,2015.0,George Miller,153629485.0,150000000.0,R,English
Angels & Demons ,2009.0,Ron Howard,133375846.0,150000000.0,PG-13,English
Thor ,2011.0,Kenneth Branagh,181015141.0,150000000.0,PG-13,English
Bolt ,2008.0,Byron Howard,114053579.0,150000000.0,PG,English
G-Force ,2009.0,Hoyt Yeatman,119420252.0,150000000.0,PG,English
Wrath of the Titans ,2012.0,Jonathan Liebesman,83640426.0,150000000.0,PG-13,English
Dark Shadows ,2012.0,Tim Burton,79711678.0,100000000.0,PG-13,English
Mission: Impossible - Rogue Nation ,2015.0,Christopher McQuarrie,195000874.0,150000000.0,PG-13,English
The Wolfman ,2010.0,Joe Johnston,61937495.0,150000000.0,R,English
The Legend of Tarzan ,2016.0,David Yates,124051759.0,180000000.0,PG-13,English
Bee Movie ,2007.0,Steve Hickner,126597121.0,150000000.0,PG,English
Kung Fu Panda 2 ,2011.0,Jennifer Yuh Nelson,165230261.0,150000000.0,PG,English
The Last Airbender ,2010.0,M. Night Shyamalan,131564731.0,150000000.0,PG,English
Mission: Impossible III ,2006.0,J.J. Abrams,133382309.0,150000000.0,PG-13,English
White House Down ,2013.0,Roland Emmerich,73103784.0,150000000.0,PG-13,English
Mars Needs Moms ,2011.0,Simon Wells,21379315.0,150000000.0,PG,English
Flushed Away ,2006.0,David Bowers,64459316.0,149000000.0,PG,English
Pan ,2015.0,Joe Wright,34964818.0,150000000.0,PG,English
Mr. Peabody & Sherman ,2014.0,Rob Minkoff,111505642.0,145000000.0,PG,English
Troy ,2004.0,Wolfgang Petersen,133228348.0,175000000.0,R,English
Madagascar 3: Europe's Most Wanted ,2012.0,Eric Darnell,216366733.0,145000000.0,PG,English
Die Another Day ,2002.0,Lee Tamahori,160201106.0,142000000.0,PG-13,English
Ghostbusters ,2016.0,Paul Feig,118099659.0,144000000.0,PG-13,English
Armageddon ,1998.0,Michael Bay,201573391.0,140000000.0,PG-13,English
Men in Black II ,2002.0,Barry Sonnenfeld,190418803.0,140000000.0,PG-13,English
Beowulf ,2007.0,Robert Zemeckis,82161969.0,150000000.0,PG-13,English
Kung Fu Panda 3 ,2016.0,Alessandro Carloni,143523463.0,145000000.0,PG,English
Mission: Impossible - Ghost Protocol ,2011.0,Brad Bird,209364921.0,145000000.0,PG-13,English
Rise of the Guardians ,2012.0,Peter Ramsey,103400692.0,145000000.0,PG,English
Fun with Dick and Jane ,2005.0,Dean Parisot,110332737.0,100000000.0,PG-13,English
The Last Samurai ,2003.0,Edward Zwick,111110575.0,140000000.0,R,English
Exodus: Gods and Kings ,2014.0,Ridley Scott,65007045.0,140000000.0,PG-13,English
Star Trek ,2009.0,J.J. Abrams,257704099.0,150000000.0,PG-13,English
Spider-Man ,2002.0,Sam Raimi,403706375.0,139000000.0,PG-13,English
How to Train Your Dragon 2 ,2014.0,Dean DeBlois,176997107.0,145000000.0,PG,English
Gods of Egypt ,2016.0,Alex Proyas,31141074.0,140000000.0,PG-13,English
Stealth ,2005.0,Rob Cohen,31704416.0,135000000.0,PG-13,English
Watchmen ,2009.0,Zack Snyder,107503316.0,130000000.0,R,English
Lethal Weapon 4 ,1998.0,Richard Donner,129734803.0,140000000.0,R,English
Hulk ,2003.0,Ang Lee,132122995.0,137000000.0,PG-13,English
G.I. Joe: Retaliation ,2013.0,Jon M. Chu,122512052.0,130000000.0,PG-13,English
Sahara ,2005.0,Breck Eisner,68642452.0,130000000.0,PG-13,English
Final Fantasy: The Spirits Within ,2001.0,Hironobu Sakaguchi,32131830.0,137000000.0,PG-13,English
Captain America: The First Avenger ,2011.0,Joe Johnston,176636816.0,140000000.0,PG-13,English
The World Is Not Enough ,1999.0,Michael Apted,126930660.0,135000000.0,PG-13,English
Master and Commander: The Far Side of the World ,2003.0,Peter Weir,93926386.0,150000000.0,PG-13,English
The Twilight Saga: Breaking Dawn - Part 2 ,2012.0,Bill Condon,292298923.0,120000000.0,PG-13,English
Happy Feet 2 ,2011.0,George Miller,63992328.0,135000000.0,PG,English
The Incredible Hulk ,2008.0,Louis Leterrier,134518390.0,150000000.0,PG-13,English
The BFG ,2016.0,Steven Spielberg,52792307.0,140000000.0,PG,English
The Revenant ,2015.0,Alejandro G. Iñárritu,183635922.0,135000000.0,R,English
Turbo ,2013.0,David Soren,83024900.0,135000000.0,PG,English
Rango ,2011.0,Gore Verbinski,123207194.0,135000000.0,PG,English
Penguins of Madagascar ,2014.0,Eric Darnell,83348920.0,132000000.0,PG,English
The Bourne Ultimatum ,2007.0,Paul Greengrass,227137090.0,110000000.0,PG-13,English
Kung Fu Panda ,2008.0,Mark Osborne,215395021.0,130000000.0,PG,English
Ant-Man ,2015.0,Peyton Reed,180191634.0,130000000.0,PG-13,English
The Hunger Games: Catching Fire ,2013.0,Francis Lawrence,424645577.0,130000000.0,PG-13,English
The Twilight Saga: Breaking Dawn - Part 2 ,2012.0,Bill Condon,292298923.0,120000000.0,PG-13,English
Home ,2015.0,Tim Johnson,177343675.0,135000000.0,PG,English
War of the Worlds ,2005.0,Steven Spielberg,234277056.0,132000000.0,PG-13,English
Bad Boys II ,2003.0,Michael Bay,138396624.0,130000000.0,R,English
Puss in Boots ,2011.0,Chris Miller,149234747.0,130000000.0,PG,English
Salt ,2010.0,Phillip Noyce,118311368.0,110000000.0,PG-13,English
Noah ,2014.0,Darren Aronofsky,101160529.0,125000000.0,PG-13,English
The Adventures of Tintin ,2011.0,Steven Spielberg,77564037.0,135000000.0,PG,English
Harry Potter and the Prisoner of Azkaban ,2004.0,Alfonso Cuarón,249358727.0,130000000.0,PG,English
Australia ,2008.0,Baz Luhrmann,49551662.0,130000000.0,PG-13,English
After Earth ,2013.0,M. Night Shyamalan,60522097.0,130000000.0,PG-13,English
Dinosaur ,2000.0,Eric Leighton,137748063.0,127500000.0,PG,English
Night at the Museum: Secret of the Tomb ,2014.0,Shawn Levy,113733726.0,127000000.0,PG,English
Megamind ,2010.0,Tom McGrath,148337537.0,130000000.0,PG,English
Harry Potter and the Sorcerer's Stone ,2001.0,Chris Columbus,317557891.0,125000000.0,PG,English
R.I.P.D. ,2013.0,Robert Schwentke,33592415.0,130000000.0,PG-13,English
Pirates of the Caribbean: The Curse of the Black Pearl ,2003.0,Gore Verbinski,305388685.0,140000000.0,PG-13,English
The Hunger Games: Mockingjay - Part 1 ,2014.0,Francis Lawrence,337103873.0,125000000.0,PG-13,English
The Da Vinci Code ,2006.0,Ron Howard,217536138.0,125000000.0,PG-13,English
Rio 2 ,2014.0,Carlos Saldanha,131536019.0,103000000.0,G,English
X-Men 2 ,2003.0,Bryan Singer,214948780.0,110000000.0,PG-13,English
Fast Five ,2011.0,Justin Lin,209805005.0,125000000.0,PG-13,English
Sherlock Holmes: A Game of Shadows ,2011.0,Guy Ritchie,186830669.0,125000000.0,PG-13,English
Clash of the Titans ,2010.0,Louis Leterrier,163192114.0,125000000.0,PG-13,English
Total Recall ,1990.0,Paul Verhoeven,119412921.0,65000000.0,R,English
The 13th Warrior ,1999.0,John McTiernan,32694788.0,85000000.0,R,English
The Bourne Legacy ,2012.0,Tony Gilroy,113165635.0,125000000.0,PG-13,English
Batman & Robin ,1997.0,Joel Schumacher,107285004.0,125000000.0,PG-13,English
How the Grinch Stole Christmas ,2000.0,Ron Howard,260031035.0,123000000.0,PG,English
The Day After Tomorrow ,2004.0,Roland Emmerich,186739919.0,125000000.0,PG-13,English
Mission: Impossible II ,2000.0,John Woo,215397307.0,125000000.0,PG-13,English
The Perfect Storm ,2000.0,Wolfgang Petersen,182618434.0,140000000.0,PG-13,English
Fantastic 4: Rise of the Silver Surfer ,2007.0,Tim Story,131920333.0,130000000.0,PG,English
Life of Pi ,2012.0,Ang Lee,124976634.0,120000000.0,PG,English
Ghost Rider ,2007.0,Mark Steven Johnson,115802596.0,110000000.0,PG-13,English
Jason Bourne ,2016.0,Paul Greengrass,108521835.0,120000000.0,PG-13,English
Charlie's Angels: Full Throttle ,2003.0,McG,100685880.0,120000000.0,PG-13,English
Prometheus ,2012.0,Ridley Scott,126464904.0,130000000.0,R,English
Stuart Little 2 ,2002.0,Rob Minkoff,64736114.0,120000000.0,PG,English
Elysium ,2013.0,Neill Blomkamp,93050117.0,115000000.0,R,English
The Chronicles of Riddick ,2004.0,David Twohy,57637485.0,105000000.0,PG-13,English
RoboCop ,2014.0,José Padilha,58607007.0,100000000.0,PG-13,English
Speed Racer ,2008.0,Lana Wachowski,43929341.0,120000000.0,PG,English
How Do You Know ,2010.0,James L. Brooks,30212620.0,120000000.0,PG-13,English
Knight and Day ,2010.0,James Mangold,76418654.0,117000000.0,PG-13,English
Oblivion ,2013.0,Joseph Kosinski,89021735.0,120000000.0,PG-13,English
Star Wars: Episode III - Revenge of the Sith ,2005.0,George Lucas,380262555.0,113000000.0,PG-13,English
Star Wars: Episode II - Attack of the Clones ,2002.0,George Lucas,310675583.0,115000000.0,PG,English
"Monsters, Inc. ",2001.0,Pete Docter,289907418.0,115000000.0,G,English
The Wolverine ,2013.0,James Mangold,132550960.0,120000000.0,PG-13,English
Star Wars: Episode I - The Phantom Menace ,1999.0,George Lucas,474544677.0,115000000.0,PG,English
The Croods ,2013.0,Kirk De Micco,187165546.0,135000000.0,PG,English
Windtalkers ,2002.0,John Woo,40911830.0,115000000.0,R,English
The Huntsman: Winter's War ,2016.0,Cedric Nicolas-Troyan,47952020.0,115000000.0,PG-13,English
Teenage Mutant Ninja Turtles ,2014.0,Jonathan Liebesman,190871240.0,125000000.0,PG-13,English
Gravity ,2013.0,Alfonso Cuarón,274084951.0,100000000.0,PG-13,English
Dante's Peak ,1997.0,Roger Donaldson,67155742.0,116000000.0,PG-13,English
Teenage Mutant Ninja Turtles: Out of the Shadows ,2016.0,Dave Green,81638674.0,135000000.0,PG-13,English
Fantastic Four ,2015.0,Josh Trank,56114221.0,120000000.0,PG-13,English
Night at the Museum ,2006.0,Shawn Levy,250863268.0,110000000.0,PG,English
San Andreas ,2015.0,Brad Peyton,155181732.0,110000000.0,PG-13,English
Tomorrow Never Dies ,1997.0,Roger Spottiswoode,125332007.0,110000000.0,PG-13,English
The Patriot ,2000.0,Roland Emmerich,113330342.0,110000000.0,R,English
Ocean's Twelve ,2004.0,Steven Soderbergh,125531634.0,110000000.0,PG-13,English
Mr. & Mrs. Smith ,2005.0,Doug Liman,186336103.0,120000000.0,PG-13,English
Insurgent ,2015.0,Robert Schwentke,129995817.0,110000000.0,PG-13,English
The Aviator ,2004.0,Martin Scorsese,102608827.0,110000000.0,PG-13,English
Gulliver's Travels ,2010.0,Rob Letterman,42776259.0,112000000.0,PG,English
The Green Hornet ,2011.0,Michel Gondry,98780042.0,120000000.0,PG-13,English
300: Rise of an Empire ,2014.0,Noam Murro,106369117.0,110000000.0,R,English
The Smurfs ,2011.0,Raja Gosnell,142614158.0,110000000.0,PG,English
Home on the Range ,2004.0,Will Finn,50026353.0,110000000.0,PG,English
Allegiant ,2016.0,Robert Schwentke,66002193.0,110000000.0,PG-13,English
Real Steel ,2011.0,Shawn Levy,85463309.0,110000000.0,PG-13,English
The Smurfs 2 ,2013.0,Raja Gosnell,71017784.0,105000000.0,PG,English
Speed 2: Cruise Control ,1997.0,Jan de Bont,48068396.0,160000000.0,PG-13,English
Ender's Game ,2013.0,Gavin Hood,61656849.0,110000000.0,PG-13,English
Live Free or Die Hard ,2007.0,Len Wiseman,134520804.0,110000000.0,PG-13,English
The Lord of the Rings: The Fellowship of the Ring ,2001.0,Peter Jackson,313837577.0,93000000.0,PG-13,English
Around the World in 80 Days ,2004.0,Frank Coraci,24004159.0,110000000.0,PG,English
Ali ,2001.0,Michael Mann,58183966.0,107000000.0,R,English
The Cat in the Hat ,2003.0,Bo Welch,100446895.0,109000000.0,PG,English
"I, Robot ",2004.0,Alex Proyas,144795350.0,120000000.0,PG-13,English
Kingdom of Heaven ,2005.0,Ridley Scott,47396698.0,130000000.0,R,English
Stuart Little ,1999.0,Rob Minkoff,140015224.0,133000000.0,PG,English
The Princess and the Frog ,2009.0,Ron Clements,104374107.0,105000000.0,G,English
The Martian ,2015.0,Ridley Scott,228430993.0,108000000.0,PG-13,English
The Island ,2005.0,Michael Bay,35799026.0,126000000.0,PG-13,English
Town & Country ,2001.0,Peter Chelsom,6712451.0,90000000.0,R,English
Gone in Sixty Seconds ,2000.0,Dominic Sena,101643008.0,90000000.0,PG-13,English
Gladiator ,2000.0,Ridley Scott,187670866.0,103000000.0,R,English
Minority Report ,2002.0,Steven Spielberg,132014112.0,102000000.0,PG-13,English
Harry Potter and the Chamber of Secrets ,2002.0,Chris Columbus,261970615.0,100000000.0,PG,English
Casino Royale ,2006.0,Martin Campbell,167007184.0,150000000.0,PG-13,English
Planet of the Apes ,2001.0,Tim Burton,180011740.0,100000000.0,PG-13,English
Terminator 2: Judgment Day ,1991.0,James Cameron,204843350.0,102000000.0,R,English
Public Enemies ,2009.0,Michael Mann,97030725.0,100000000.0,R,English
American Gangster ,2007.0,Ridley Scott,130127620.0,100000000.0,R,English
True Lies ,1994.0,James Cameron,146282411.0,115000000.0,R,English
The Taking of Pelham 1 2 3 ,2009.0,Tony Scott,65452312.0,100000000.0,R,English
Little Fockers ,2010.0,Paul Weitz,148383780.0,100000000.0,PG-13,English
The Other Guys ,2010.0,Adam McKay,119219978.0,100000000.0,PG-13,English
Eraser ,1996.0,Chuck Russell,101228120.0,100000000.0,R,English
Django Unchained ,2012.0,Quentin Tarantino,162804648.0,100000000.0,R,English
The Hunchback of Notre Dame ,1996.0,Gary Trousdale,100117603.0,100000000.0,G,English
The Emperor's New Groove ,2000.0,Mark Dindal,89296573.0,100000000.0,G,English
The Expendables 2 ,2012.0,Simon West,85017401.0,92000000.0,R,English
National Treasure ,2004.0,Jon Turteltaub,173005002.0,100000000.0,PG,English
Eragon ,2006.0,Stefen Fangmeier,75030163.0,100000000.0,PG,English
Where the Wild Things Are ,2009.0,Spike Jonze,77222184.0,100000000.0,PG,English
Pan ,2015.0,Joe Wright,34964818.0,150000000.0,PG,English
Epic ,2013.0,Chris Wedge,107515297.0,100000000.0,PG,English
The Tourist ,2010.0,Florian Henckel von Donnersmarck,67631157.0,100000000.0,PG-13,English
End of Days ,1999.0,Peter Hyams,66862068.0,83000000.0,R,English
Blood Diamond ,2006.0,Edward Zwick,57366262.0,100000000.0,R,English
The Wolf of Wall Street ,2013.0,Martin Scorsese,116866727.0,100000000.0,R,English
Batman Forever ,1995.0,Joel Schumacher,184031112.0,100000000.0,PG-13,English
Starship Troopers ,1997.0,Paul Verhoeven,54700065.0,105000000.0,R,English
Cloud Atlas ,2012.0,Tom Tykwer,27098580.0,102000000.0,R,English
Legend of the Guardians: The Owls of Ga'Hoole ,2010.0,Zack Snyder,55673333.0,80000000.0,PG,English
Catwoman ,2004.0,Pitof,40198710.0,100000000.0,PG-13,English
Hercules ,2014.0,Brett Ratner,72660029.0,100000000.0,PG-13,English
Treasure Planet ,2002.0,Ron Clements,38120554.0,140000000.0,PG,English
Land of the Lost ,2009.0,Brad Silberling,49392095.0,100000000.0,PG-13,English
The Expendables 3 ,2014.0,Patrick Hughes,39292022.0,90000000.0,PG-13,English
Point Break ,2015.0,Ericson Core,28772222.0,105000000.0,PG-13,English
Son of the Mask ,2005.0,Lawrence Guterman,17010646.0,84000000.0,PG,English
In the Heart of the Sea ,2015.0,Ron Howard,24985612.0,100000000.0,PG-13,English
The Adventures of Pluto Nash ,2002.0,Ron Underwood,4411102.0,100000000.0,PG-13,English
Green Zone ,2010.0,Paul Greengrass,35024475.0,100000000.0,R,English
The Peanuts Movie ,2015.0,Steve Martino,130174897.0,99000000.0,G,English
The Spanish Prisoner ,1997.0,David Mamet,10200000.0,10000000.0,PG,English
The Mummy Returns ,2001.0,Stephen Sommers,202007640.0,98000000.0,PG-13,English
Gangs of New York ,2002.0,Martin Scorsese,77679638.0,100000000.0,R,English
The Flowers of War ,2011.0,Yimou Zhang,9213.0,94000000.0,R,Mandarin
Surf's Up ,2007.0,Ash Brannon,58867694.0,100000000.0,PG,English
The Stepford Wives ,2004.0,Frank Oz,59475623.0,90000000.0,PG-13,English
Black Hawk Down ,2001.0,Ridley Scott,108638745.0,92000000.0,R,English
The Campaign ,2012.0,Jay Roach,86897182.0,95000000.0,R,English
The Fifth Element ,1997.0,Luc Besson,63540020.0,93000000.0,PG-13,English
Sex and the City 2 ,2010.0,Michael Patrick King,95328937.0,100000000.0,R,English
The Road to El Dorado ,2000.0,Bibo Bergeron,50802661.0,95000000.0,PG,English
Ice Age: Continental Drift ,2012.0,Steve Martino,161317423.0,95000000.0,PG,English
Cinderella ,2015.0,Kenneth Branagh,201148159.0,95000000.0,PG,English
The Lovely Bones ,2009.0,Peter Jackson,43982842.0,65000000.0,PG-13,English
Finding Nemo ,2003.0,Andrew Stanton,380838870.0,94000000.0,G,English
The Lord of the Rings: The Return of the King ,2003.0,Peter Jackson,377019252.0,94000000.0,PG-13,English
The Lord of the Rings: The Two Towers ,2002.0,Peter Jackson,340478898.0,94000000.0,PG-13,English
